# 2026-07-24T23:59:33-04:00  000b023  COUNT=10 BENCHTIME=300ms
goos: linux
goarch: amd64
pkg: github.com/jack-work/figaro/internal/chalkboard
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkJSONRoundTrip/default-16               	    1050	    325785 ns/op	   68745 B/op	     286 allocs/op
BenchmarkJSONRoundTrip/default-16               	    1056	    331729 ns/op	   68644 B/op	     286 allocs/op
PASS
ok  	github.com/jack-work/figaro/internal/chalkboard	43.659s
goos: linux
goarch: amd64
pkg: github.com/jack-work/figaro/internal/chalkboard
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkNewValue/large_32KiB-16                	    1671	    230676 ns/op	 142.10 MB/s	  207243 B/op	      23 allocs/op
BenchmarkNewValue/large_32KiB-16                	    1579	    235766 ns/op	 139.03 MB/s	  207599 B/op	      23 allocs/op
BenchmarkNewValue/large_32KiB-16                	    1453	    236057 ns/op	 138.86 MB/s	  207020 B/op	      23 allocs/op
BenchmarkNewValue/large_32KiB-16                	    1512	    238163 ns/op	 137.63 MB/s	  207495 B/op	      23 allocs/op
BenchmarkNewValue/large_32KiB-16                	    1582	    236894 ns/op	 138.37 MB/s	  207432 B/op	      23 allocs/op
BenchmarkNewValue/large_32KiB-16                	    1503	    232302 ns/op	 141.11 MB/s	  207733 B/op	      23 allocs/op
BenchmarkNewValue/large_32KiB-16                	    1562	    234674 ns/op	 139.68 MB/s	  207742 B/op	      23 allocs/op
BenchmarkNewValue/large_32KiB-16                	    1524	    234803 ns/op	 139.60 MB/s	  207355 B/op	      23 allocs/op
BenchmarkNewValue/large_32KiB-16                	    1496	    230004 ns/op	 142.52 MB/s	  207699 B/op	      23 allocs/op
BenchmarkNewValue/large_32KiB-16                	    1526	    232903 ns/op	 140.74 MB/s	  207458 B/op	      23 allocs/op
BenchmarkClone/large-16                         	559490421	         0.6487 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/large-16                         	557933972	         0.6450 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/large-16                         	545681143	         0.6489 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/large-16                         	537335640	         0.6519 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/large-16                         	548048700	         0.6475 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/large-16                         	544724424	         0.6491 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/large-16                         	543205657	         0.6481 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/large-16                         	552124171	         0.6468 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/large-16                         	552884610	         0.6482 ns/op	       0 B/op	       0 allocs/op
BenchmarkClone/large-16                         	551820852	         0.6452 ns/op	       0 B/op	       0 allocs/op
BenchmarkApply_SmallPatch/large-16              	  159860	      2204 ns/op	    5780 B/op	      50 allocs/op
BenchmarkApply_SmallPatch/large-16              	  150928	      2196 ns/op	    5780 B/op	      50 allocs/op
